id,user_id,account_id,occurred_at,direction,amount,balance_after,counterparty_name,counterparty_bank,counterparty_account_hash,category,transaction_type,channel,memo,is_recurring,is_synthetic
txn-01-0001,demo-parent-01,1101234567,2025-09-01T14:08:00+09:00,OUT,77900,25928694,이마트,한결카드,acct_b619c44f,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0002,demo-parent-01,1101234567,2025-09-02T13:21:00+09:00,OUT,13516,25915178,동네식당,한결카드,acct_aca8f34e,DINING,CARD,DEBIT_CARD,외식,false,true
txn-01-0003,demo-parent-01,1101234567,2025-09-03T08:30:00+09:00,IN,1012000,26927178,국민연금공단,한결은행,acct_ec839ee0,INCOME,PENSION,ACCOUNT_CREDIT,국민연금,true,true
txn-01-0004,demo-parent-01,1101234567,2025-09-06T13:04:00+09:00,OUT,5000,26922178,한결교통,한결카드,acct_9fb1bf66,TRANSPORT,CARD,DEBIT_CARD,교통,false,true
txn-01-0005,demo-parent-01,1101234567,2025-09-07T12:37:00+09:00,OUT,20695,26901483,약국,한결카드,acct_508728b3,HEALTHCARE,CARD,DEBIT_CARD,의약품,false,true
txn-01-0006,demo-parent-01,1101234567,2025-09-08T11:32:00+09:00,OUT,74360,26827123,이마트,한결카드,acct_b619c44f,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0007,demo-parent-01,1101234567,2025-09-08T13:12:00+09:00,OUT,3000,26824123,마을버스,한결카드,acct_0ebe40b5,TRANSPORT,CARD,DEBIT_CARD,교통,false,true
txn-01-0008,demo-parent-01,1101234567,2025-09-09T11:07:00+09:00,OUT,66659,26757464,시장 상회,한결카드,acct_7df5a3a7,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
txn-01-0009,demo-parent-01,1101234567,2025-09-10T13:07:00+09:00,OUT,500000,26257464,딸 지혜,국민은행,acct_485235bb,FAMILY,TRANSFER,MOBILE_TRANSFER,가족 생활비,true,true
txn-01-0010,demo-parent-01,1101234567,2025-09-11T15:24:00+09:00,OUT,12719,26244745,약국,한결카드,acct_508728b3,HEALTHCARE,CARD,DEBIT_CARD,의약품,false,true
txn-01-0011,demo-parent-01,1101234567,2025-09-12T09:06:00+09:00,OUT,53203,26191542,이마트,한결카드,acct_b619c44f,GROCERIES,CARD,DEBIT_CARD,식료품,false,true
